QID,Config,Run,Exact,Semantic,Citation,ESS,Claim Support Rate,Citation Accuracy,LLM Judge,Confidence,Final
Q004,A,1,0.0,0.7038396952378687,0.0,0.0,0.0,0.0,0.9,0.0,0.6807679390475738
Q009,A,1,0.0,0.20826170914440226,0.0,0.0,0.0,0.0,0.8,0.0,0.5216523418288804
Q002,A,1,0.0,0.5581713618209241,0.0,0.0,0.0,0.0,0.8,0.0,0.5916342723641848
Q033,A,1,0.0,0.047569563399699206,0.0,0.0,0.0,0.0,0.8,0.0,0.4895139126799398
Q027,A,1,0.0,0.6056934687180038,0.0,0.0,0.0,0.0,0.8,0.0,0.6011386937436007
Q031,A,1,0.0,0.08666614213468463,0.0,0.0,0.0,0.0,0.6,0.0,0.3773332284269369
Q054,A,1,0.0,0.08451115090340047,0.0,0.0,0.0,0.0,0.8,0.0,0.4969022301806801
Q038,A,1,0.0,0.10240420611276425,0.0,0.0,0.0,0.0,0.4,0.0,0.26048084122255283
Q045,A,1,0.0,0.11554017351071233,0.0,0.0,0.0,0.0,0.2,0.0,0.14310803470214245
Q067,A,1,0.0,0.17511915753233862,0.0,0.0,0.0,0.0,0.4,0.0,0.2750238315064677
Q058,A,1,1.0,0.7079724525878467,0.0,0.0,0.0,0.0,0.8,0.0,0.8215944905175694
Q064,A,1,0.0,0.5999226199858747,0.0,0.0,0.0,0.0,0.6,0.0,0.47998452399717495
Q088,A,1,0.0,0.16299450966535056,0.0,0.0,0.0,0.0,0.6,0.0,0.3925989019330701
Q085,A,1,0.0,0.3408242166238352,0.0,0.0,0.0,0.0,0.5,0.0,0.36816484332476707
Q091,A,1,0.0,0.14935416476122912,0.0,0.0,0.0,0.0,0.6,0.0,0.3898708329522458
Q094,A,1,0.0,0.3105541586658589,0.0,0.0,0.0,0.0,0.8,0.0,0.5421108317331718
Q124,A,1,0.0,0.13889498222343502,0.0,0.0,0.0,0.0,0.8,0.0,0.5077789964446869
Q116,A,1,0.0,0.6549615176011828,0.0,0.0,0.0,0.0,0.8,0.0,0.6109923035202366
Q137,A,1,0.0,0.06296010852029697,0.0,0.0,0.0,0.0,0.8,0.0,0.49259202170405936
Q133,A,1,0.0,0.023308106141593198,0.0,0.0,0.0,0.0,0.8,0.0,0.48466162122831863
Q004,A,2,0.0,0.7038396952378687,0.0,0.0,0.0,0.0,0.9,0.0,0.6807679390475738
Q009,A,2,0.0,0.20826170914440226,0.0,0.0,0.0,0.0,0.8,0.0,0.5216523418288804
Q002,A,2,0.0,0.5581713618209241,0.0,0.0,0.0,0.0,0.8,0.0,0.5916342723641848
Q033,A,2,0.0,0.047569563399699206,0.0,0.0,0.0,0.0,0.8,0.0,0.4895139126799398
Q027,A,2,0.0,0.6056934687180038,0.0,0.0,0.0,0.0,0.8,0.0,0.6011386937436007
Q054,A,2,0.0,0.08451115090340047,0.0,0.0,0.0,0.0,0.8,0.0,0.4969022301806801
Q038,A,2,0.0,0.10240420611276425,0.0,0.0,0.0,0.0,0.4,0.0,0.26048084122255283
Q045,A,2,0.0,0.11554017351071233,0.0,0.0,0.0,0.0,0.2,0.0,0.14310803470214245
Q067,A,2,0.0,0.1795750896278081,0.0,0.0,0.0,0.0,0.6,0.0,0.3959150179255616
Q058,A,2,1.0,0.7079724525878467,0.0,0.0,0.0,0.0,0.8,0.0,0.8215944905175694
Q064,A,2,0.0,0.5999226199858747,0.0,0.0,0.0,0.0,0.6,0.0,0.47998452399717495
Q088,A,2,0.0,0.16299450966535056,0.0,0.0,0.0,0.0,0.6,0.0,0.3925989019330701
Q085,A,2,0.0,0.3408242166238352,0.0,0.0,0.0,0.0,0.5,0.0,0.36816484332476707
Q091,A,2,0.0,0.14935416476122912,0.0,0.0,0.0,0.0,0.6,0.0,0.3898708329522458
Q094,A,2,0.0,0.2748678414326033,0.0,0.0,0.0,0.0,0.6,0.0,0.41497356828652066
Q124,A,2,0.0,0.13889498222343502,0.0,0.0,0.0,0.0,0.8,0.0,0.5077789964446869
Q116,A,2,0.0,0.6549615176011828,0.0,0.0,0.0,0.0,0.8,0.0,0.6109923035202366
Q137,A,2,0.0,0.06296010852029697,0.0,0.0,0.0,0.0,0.8,0.0,0.49259202170405936
Q133,A,2,0.0,0.023308106141593198,0.0,0.0,0.0,0.0,0.8,0.0,0.48466162122831863
Q004,A,3,0.0,0.7038396952378687,0.0,0.0,0.0,0.0,0.9,0.0,0.6807679390475738
Q009,A,3,0.0,0.20826170914440226,0.0,0.0,0.0,0.0,0.8,0.0,0.5216523418288804
Q002,A,3,0.0,0.5581713618209241,0.0,0.0,0.0,0.0,0.8,0.0,0.5916342723641848
Q033,A,3,0.0,0.047569563399699206,0.0,0.0,0.0,0.0,0.8,0.0,0.4895139126799398
Q027,A,3,0.0,0.6056934687180038,0.0,0.0,0.0,0.0,0.8,0.0,0.6011386937436007
Q031,A,3,0.0,0.08666614213468463,0.0,0.0,0.0,0.0,0.6,0.0,0.3773332284269369
Q054,A,3,0.0,0.08451115090340047,0.0,0.0,0.0,0.0,0.8,0.0,0.4969022301806801
Q038,A,3,0.0,0.10240420611276425,0.0,0.0,0.0,0.0,0.4,0.0,0.26048084122255283
Q045,A,3,0.0,0.11554017351071233,0.0,0.0,0.0,0.0,0.2,0.0,0.14310803470214245
Q067,A,3,0.0,0.1795750896278081,0.0,0.0,0.0,0.0,0.6,0.0,0.3959150179255616
Q058,A,3,1.0,0.7079724525878467,0.0,0.0,0.0,0.0,0.8,0.0,0.8215944905175694
Q064,A,3,0.0,0.5999226199858747,0.0,0.0,0.0,0.0,0.6,0.0,0.47998452399717495
Q088,A,3,0.0,0.16299450966535056,0.0,0.0,0.0,0.0,0.6,0.0,0.3925989019330701
Q085,A,3,0.0,0.3408242166238352,0.0,0.0,0.0,0.0,0.5,0.0,0.36816484332476707
Q091,A,3,0.0,0.14935416476122912,0.0,0.0,0.0,0.0,0.6,0.0,0.3898708329522458
Q094,A,3,0.0,0.3105541586658589,0.0,0.0,0.0,0.0,0.8,0.0,0.5421108317331718
Q124,A,3,0.0,0.13889498222343502,0.0,0.0,0.0,0.0,0.8,0.0,0.5077789964446869
Q116,A,3,0.0,0.6549615176011828,0.0,0.0,0.0,0.0,0.8,0.0,0.6109923035202366
Q137,A,3,0.0,0.06296010852029697,0.0,0.0,0.0,0.0,0.8,0.0,0.49259202170405936
Q133,A,3,0.0,0.023308106141593198,0.0,0.0,0.0,0.0,0.8,0.0,0.48466162122831863
Q004,B,1,0.0,0.945840372603654,0.5,0.0,0.0,0.5,1.0,0.0,0.7891680745207308
Q009,B,1,0.0,0.14866513758446798,0.4,0.0,0.0,0.4,0.6,0.0,0.3897330275168936
Q002,B,1,0.0,0.8417446602673264,0.5,0.0,0.0,0.5,0.8,0.0,0.6483489320534652
Q033,B,1,0.0,0.027654432508718862,0.8,0.0,0.0,0.8,0.5,0.0,0.30553088650174376
Q027,B,1,0.0,0.48169541659114345,0.75,0.0,0.0,0.75,0.6,0.0,0.4563390833182287
Q031,B,1,0.0,0.15622468300840164,0.5,0.0,0.0,0.5,0.8,0.0,0.5112449366016804
Q054,B,1,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.3
Q038,B,1,0.0,0.10278496359443444,0.4,0.0,0.0,0.4,0.4,0.0,0.2605569927188869
Q045,B,1,0.0,0.10110151623036148,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6,0.0,0.38022030324607226
Q067,B,1,0.0,0.11246026171582056,0.6,0.0,0.0,0.6,0.0,0.0,0.022492052343164114
Q058,B,1,0.0,0.42458517289245695,0.5,0.0,0.0,0.5,0.6,0.0,0.4449170345784914
Q064,B,1,0.0,0.5339494482550211,0.5,0.0,0.0,0.5,0.8,0.0,0.5867898896510042
Q088,B,1,0.0,0.1566575054733178,0.5,0.0,0.0,0.5,0.2,0.0,0.15133150109466356
Q085,B,1,0.0,0.07917277212966893,0.75,0.0,0.0,0.75,0.0,0.0,0.015834554425933785
Q091,B,1,0.0,0.11049588081439099,0.6666666666666666,0.0,0.0,0.6666666666666666,0.4,0.0,0.2620991761628782
Q094,B,1,0.0,0.24120258828809593,0.6666666666666666,0.0,0.0,0.6666666666666666,0.8,0.0,0.5282405176576191
Q124,B,1,0.0,0.13661004298301307,0.5,0.0,0.0,0.5,0.0,0.0,0.027322008596602616
Q116,B,1,0.0,0.6064552310466783,1.0,0.0,0.0,1.0,0.8,0.0,0.6012910462093357
Q137,B,1,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.3
Q133,B,1,0.0,0.04382799779539186,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.008765599559078371
Q004,B,2,0.0,0.945840372603654,0.5,0.0,0.0,0.5,1.0,0.0,0.7891680745207308
Q009,B,2,0.0,0.11595616371673087,0.4,0.0,0.0,0.4,0.6,0.0,0.38319123274334616
Q002,B,2,0.0,0.5161599480837087,0.25,0.0,0.0,0.25,0.8,0.0,0.5832319896167417
Q033,B,2,0.0,0.027654432508718862,0.8,0.0,0.0,0.8,0.5,0.0,0.30553088650174376
Q027,B,2,0.0,0.48169541659114345,0.75,0.0,0.0,0.75,0.6,0.0,0.4563390833182287
Q031,B,2,0.0,0.15622468300840164,0.5,0.0,0.0,0.5,0.8,0.0,0.5112449366016804
Q054,B,2,0.0,0.05400418246765694,0.5,0.0,0.0,0.5,0.5,0.0,0.31080083649353135
Q038,B,2,0.0,0.10278496359443444,0.4,0.0,0.0,0.4,0.4,0.0,0.2605569927188869
