QID,Config,Run,Exact,Semantic,Citation,ESS,Claim Support Rate,Citation Accuracy,LLM Judge,Confidence,Final,Recall,MRR,nDCG
Q001,A,1,1.0,1.0000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Q002,A,1,0.0,0.4874691613488786,0.0,0.0,0.0,0.0,0.8,0.0,0.5774938322697757,1.0,1.0,1.0
Q003,A,1,0.0,0.3791835594498948,0.0,0.0,0.0,0.0,0.8,0.0,0.555836711889979,1.0,1.0,1.0
Q004,A,1,0.0,0.7038396952378687,0.0,0.0,0.0,0.0,0.9,0.0,0.6807679390475738,1.0,1.0,1.0
Q005,A,1,0.0,0.2356236293522922,0.0,0.0,0.0,0.0,0.5,0.0,0.34712472587045845,1.0,1.0,1.0
Q006,A,1,0.0,0.6396729443106978,0.0,0.0,0.0,0.0,0.8,0.0,0.6079345888621396,1.0,0.5,0.6934264036172708
Q007,A,1,0.0,0.6828469161849906,0.0,0.0,0.0,0.0,0.8,0.0,0.6165693832369981,1.0,1.0,1.0
Q008,A,1,0.0,0.8272649185876787,0.0,0.0,0.0,0.0,0.8,0.0,0.6454529837175358,1.0,1.0,1.0
Q009,A,1,0.0,0.20826170914440226,0.0,0.0,0.0,0.0,0.8,0.0,0.5216523418288804,1.0,1.0,1.0
Q010,A,1,0.0,0.07297986168177156,0.0,0.0,0.0,0.0,0.6,0.0,0.3745959723363543,1.0,1.0,0.9197207891481876
Q011,A,1,0.0,0.5534620393524368,0.0,0.0,0.0,0.0,0.6,0.0,0.47069240787048733,0.0,0.0,0.0
Q012,A,1,0.0,0.20748122815558095,0.0,0.0,0.0,0.0,0.4,0.0,0.2814962456311162,0.0,0.0,0.0
Q013,A,1,0.0,0.6654557185402441,0.0,0.0,0.0,0.0,0.8,0.0,0.6130911437080488,1.0,1.0,1.0
Q014,A,1,0.0,0.234026038756157,0.0,0.0,0.0,0.0,0.6,0.0,0.4068052077512314,1.0,0.5,0.6309297535714575
Q015,A,1,0.0,0.06859493340635309,0.0,0.0,0.0,0.0,0.8,0.0,0.4937189866812706,0.0,0.0,0.0
Q016,A,1,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Q017,A,1,0.0,0.600787275531742,0.0,0.0,0.0,0.0,0.9,0.0,0.6601574551063485,1.0,1.0,1.0
Q018,A,1,0.0,0.48336639933091013,0.0,0.0,0.0,0.0,0.8,0.0,0.576673279866182,1.0,1.0,0.9197207891481876
Q019,A,1,0.0,0.8114945002631785,0.0,0.0,0.0,0.0,0.8,0.0,0.6422989000526357,1.0,1.0,1.0
Q020,A,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Q021,A,1,0.0,0.8386769968789174,0.0,0.0,0.0,0.0,0.9,0.0,0.7077353993757836,1.0,1.0,1.0
Q022,A,1,0.0,0.8221477873774226,0.0,0.0,0.0,0.0,0.8,0.0,0.6444295574754845,1.0,1.0,1.0
Q023,A,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Q024,A,1,0.0,0.17733773013621432,0.0,0.0,0.0,0.0,0.6,0.0,0.3954675460272429,1.0,1.0,0.9197207891481876
Q025,A,1,0.0,0.49382990085622813,0.0,0.0,0.0,0.0,0.6,0.0,0.4587659801712456,1.0,1.0,1.0
Q026,A,1,0.0,0.81039333355781,0.0,0.0,0.0,0.0,0.8,0.0,0.642078666711562,1.0,1.0,0.9197207891481876
Q027,A,1,0.0,0.6056934687180038,0.0,0.0,0.0,0.0,0.8,0.0,0.6011386937436007,1.0,1.0,1.0
Q028,A,1,0.0,0.7763666551837074,0.0,0.0,0.0,0.0,0.6,0.0,0.5152733310367414,1.0,1.0,1.0
Q029,A,1,0.0,0.8603027265790089,0.0,0.0,0.0,0.0,0.8,0.0,0.6520605453158017,1.0,1.0,0.9197207891481876
Q030,A,1,0.0,0.18124672481819293,0.0,0.0,0.0,0.0,0.6,0.0,0.39624934496363856,1.0,1.0,1.0
Q031,A,1,0.0,0.08666614213468463,0.0,0.0,0.0,0.0,0.6,0.0,0.3773332284269369,1.0,1.0,1.0
Q032,A,1,0.0,0.15335160571455647,0.0,0.0,0.0,0.0,0.8,0.0,0.5106703211429113,1.0,1.0,1.0
Q033,A,1,0.0,0.06508241965011846,0.0,0.0,0.0,0.0,0.8,0.0,0.4930164839300237,0.0,0.0,0.0
