QID,Config,Run,Exact,Semantic,Citation,ESS,Claim Support Rate,Citation Accuracy,LLM Judge,Confidence,Final
Q004,A,1,0.0,0.7038396952378687,0.0,0.0,0.0,0.0,0.9,0.0,0.6807679390475738
Q009,A,1,0.0,0.20826170914440226,0.0,0.0,0.0,0.0,0.8,0.0,0.5216523418288804
Q002,A,1,0.0,0.4874691613488786,0.0,0.0,0.0,0.0,0.8,0.0,0.5774938322697757
Q033,A,1,0.0,0.06508241965011846,0.0,0.0,0.0,0.0,0.8,0.0,0.4930164839300237
Q027,A,1,0.0,0.6056934687180038,0.0,0.0,0.0,0.0,0.8,0.0,0.6011386937436007
Q031,A,1,0.0,0.08666614213468463,0.0,0.0,0.0,0.0,0.6,0.0,0.3773332284269369
Q054,A,1,0.0,0.08451115090340047,0.0,0.0,0.0,0.0,0.8,0.0,0.4969022301806801
Q038,A,1,0.0,0.10240420611276425,0.0,0.0,0.0,0.0,0.4,0.0,0.26048084122255283
Q045,A,1,0.0,0.11554017351071233,0.0,0.0,0.0,0.0,0.2,0.0,0.14310803470214245
Q067,A,1,0.0,0.12351255978598785,0.0,0.0,0.0,0.0,0.4,0.0,0.2647025119571976
Q058,A,1,1.0,0.7079724525878467,0.0,0.0,0.0,0.0,0.8,0.0,0.8215944905175694
Q064,A,1,0.0,0.5999226199858747,0.0,0.0,0.0,0.0,0.6,0.0,0.47998452399717495
Q088,A,1,0.0,0.18235853557009063,0.0,0.0,0.0,0.0,0.4,0.0,0.27647170711401814
Q085,A,1,0.0,0.3408242166238352,0.0,0.0,0.0,0.0,0.8,0.0,0.548164843324767
Q091,A,1,0.0,0.14935416476122912,0.0,0.0,0.0,0.0,0.6,0.0,0.3898708329522458
Q094,A,1,0.0,0.24487046747435115,0.0,0.0,0.0,0.0,0.6,0.0,0.40897409349487024
Q124,A,1,0.0,0.17231664142238054,0.0,0.0,0.0,0.0,0.0,0.0,0.03446332828447611
Q116,A,1,0.0,0.6549615176011827,0.0,0.0,0.0,0.0,0.8,0.0,0.6109923035202365
Q137,A,1,0.0,0.06296010852029697,0.0,0.0,0.0,0.0,0.8,0.0,0.49259202170405936
Q133,A,1,0.0,0.023308106141593198,0.0,0.0,0.0,0.0,0.8,0.0,0.48466162122831863
Q004,A,2,0.0,0.7038396952378687,0.0,0.0,0.0,0.0,0.9,0.0,0.6807679390475738
Q009,A,2,0.0,0.20826170914440226,0.0,0.0,0.0,0.0,0.8,0.0,0.5216523418288804
Q002,A,2,0.0,0.4874691613488786,0.0,0.0,0.0,0.0,0.8,0.0,0.5774938322697757
Q033,A,2,0.0,0.06508241965011846,0.0,0.0,0.0,0.0,0.8,0.0,0.4930164839300237
Q027,A,2,0.0,0.6056934687180038,0.0,0.0,0.0,0.0,0.8,0.0,0.6011386937436007
Q031,A,2,0.0,0.08666614213468463,0.0,0.0,0.0,0.0,0.6,0.0,0.3773332284269369
Q054,A,2,0.0,0.08451115090340047,0.0,0.0,0.0,0.0,0.8,0.0,0.4969022301806801
Q038,A,2,0.0,0.10240420611276425,0.0,0.0,0.0,0.0,0.4,0.0,0.26048084122255283
Q045,A,2,0.0,0.11554017351071233,0.0,0.0,0.0,0.0,0.2,0.0,0.14310803470214245
Q067,A,2,0.0,0.12351255978598785,0.0,0.0,0.0,0.0,0.4,0.0,0.2647025119571976
Q058,A,2,1.0,0.7079724525878467,0.0,0.0,0.0,0.0,0.8,0.0,0.8215944905175694
Q064,A,2,0.0,0.5999226199858747,0.0,0.0,0.0,0.0,0.6,0.0,0.47998452399717495
Q088,A,2,0.0,0.18235853557009063,0.0,0.0,0.0,0.0,0.4,0.0,0.27647170711401814
Q085,A,2,0.0,0.3408242166238352,0.0,0.0,0.0,0.0,0.8,0.0,0.548164843324767
Q091,A,2,0.0,0.14935416476122912,0.0,0.0,0.0,0.0,0.6,0.0,0.3898708329522458
Q094,A,2,0.0,0.24487046747435115,0.0,0.0,0.0,0.0,0.6,0.0,0.40897409349487024
Q124,A,2,0.0,0.13889498222343502,0.0,0.0,0.0,0.0,0.6,0.0,0.387778996444687
Q116,A,2,0.0,0.6549615176011827,0.0,0.0,0.0,0.0,0.8,0.0,0.6109923035202365
Q137,A,2,0.0,0.06296010852029697,0.0,0.0,0.0,0.0,0.8,0.0,0.49259202170405936
Q133,A,2,0.0,0.023308106141593198,0.0,0.0,0.0,0.0,0.8,0.0,0.48466162122831863
Q004,A,3,0.0,0.7038396952378687,0.0,0.0,0.0,0.0,0.9,0.0,0.6807679390475738
Q009,A,3,0.0,0.20826170914440226,0.0,0.0,0.0,0.0,0.8,0.0,0.5216523418288804
Q002,A,3,0.0,0.4874691613488786,0.0,0.0,0.0,0.0,0.8,0.0,0.5774938322697757
Q033,A,3,0.0,0.06508241965011846,0.0,0.0,0.0,0.0,0.8,0.0,0.4930164839300237
Q027,A,3,0.0,0.6056934687180038,0.0,0.0,0.0,0.0,0.8,0.0,0.6011386937436007
Q031,A,3,0.0,0.08666614213468463,0.0,0.0,0.0,0.0,0.6,0.0,0.3773332284269369
Q054,A,3,0.0,0.08451115090340047,0.0,0.0,0.0,0.0,0.8,0.0,0.4969022301806801
Q038,A,3,0.0,0.10240420611276425,0.0,0.0,0.0,0.0,0.4,0.0,0.26048084122255283
Q045,A,3,0.0,0.11554017351071233,0.0,0.0,0.0,0.0,0.2,0.0,0.14310803470214245
Q067,A,3,0.0,0.12351255978598785,0.0,0.0,0.0,0.0,0.4,0.0,0.2647025119571976
Q058,A,3,1.0,0.7079724525878467,0.0,0.0,0.0,0.0,0.8,0.0,0.8215944905175694
Q064,A,3,0.0,0.5999226199858747,0.0,0.0,0.0,0.0,0.6,0.0,0.47998452399717495
Q088,A,3,0.0,0.18235853557009063,0.0,0.0,0.0,0.0,0.4,0.0,0.27647170711401814
Q085,A,3,0.0,0.3408242166238352,0.0,0.0,0.0,0.0,0.8,0.0,0.548164843324767
Q091,A,3,0.0,0.14935416476122912,0.0,0.0,0.0,0.0,0.6,0.0,0.3898708329522458
Q094,A,3,0.0,0.24487046747435115,0.0,0.0,0.0,0.0,0.6,0.0,0.40897409349487024
Q124,A,3,0.0,0.13889498222343502,0.0,0.0,0.0,0.0,0.6,0.0,0.387778996444687
Q116,A,3,0.0,0.6549615176011827,0.0,0.0,0.0,0.0,0.8,0.0,0.6109923035202365
Q137,A,3,0.0,0.06296010852029697,0.0,0.0,0.0,0.0,0.8,0.0,0.49259202170405936
Q133,A,3,0.0,0.023308106141593198,0.0,0.0,0.0,0.0,0.8,0.0,0.48466162122831863
Q004,B,1,0.0,0.9743297186457878,0.6666666666666666,0.0,0.0,0.6666666666666666,1.0,0.0,0.7948659437291575
Q009,B,1,0.0,0.17456734295716853,0.4,0.0,0.0,0.4,0.6,0.0,0.39491346859143367
Q002,B,1,0.0,0.5054869413865722,0.25,0.0,0.0,0.25,0.8,0.0,0.5810973882773145
Q033,B,1,0.0,0.05982395532016351,0.5,0.0,0.0,0.5,0.6,0.0,0.3719647910640327
Q027,B,1,0.0,0.5342293762259973,0.75,0.0,0.0,0.75,0.833,0.0,0.6066458752451994
Q031,B,1,0.0,0.15622468300840164,0.75,0.0,0.0,0.75,0.8,0.0,0.5112449366016804
Q054,B,1,0.0,0.030806188883312366,0.5,0.0,0.0,0.5,0.5,0.0,0.3061612377766625
Q038,B,1,0.0,0.13385803165407367,0.8,0.0,0.0,0.8,0.6,0.0,0.3867716063308147
Q045,B,1,0.0,0.1103020597925037,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6,0.0,0.3820604119585007
Q067,B,1,0.0,0.07838217410804327,0.6,0.0,0.0,0.6,0.0,0.0,0.015676434821608656
Q058,B,1,0.0,0.42458517289245695,0.75,0.0,0.0,0.75,0.6,0.0,0.4449170345784914
Q064,B,1,0.0,0.5339494482550211,1.0,0.0,0.0,1.0,0.8,0.0,0.5867898896510042
Q088,B,1,0.0,0.1566575054733178,0.5,0.0,0.0,0.5,0.2,0.0,0.15133150109466356
Q085,B,1,0.0,0.10785382921655855,0.5,0.0,0.0,0.5,0.2,0.0,0.1415707658433117
Q091,B,1,0.0,0.06717779180514845,0.3333333333333333,0.0,0.0,0.3333333333333333,0.4,0.0,0.25343555836102966
Q094,B,1,0.0,0.2409215334987374,0.6666666666666666,0.0,0.0,0.6666666666666666,0.8,0.0,0.5281843066997475
Q124,B,1,0.0,0.18361698974236404,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0,0.0,0.03672339794847281
Q116,B,1,0.0,0.31839603628692276,1.0,0.0,0.0,1.0,0.6,0.0,0.42367920725738456
Q137,B,1,0.0,0.06978326154377472,0.6666666666666666,0.0,0.0,0.6666666666666666,0.8,0.0,0.4939566523087549
Q133,B,1,0.0,0.04382799779539186,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.008765599559078371
Q004,B,2,0.0,0.9743297186457878,0.6666666666666666,0.0,0.0,0.6666666666666666,1.0,0.0,0.7948659437291575
Q009,B,2,0.0,0.19136079122614524,0.4,0.0,0.0,0.4,0.6,0.0,0.39827215824522905
Q002,B,2,0.0,0.5054869413865722,0.5,0.0,0.0,0.5,0.8,0.0,0.5810973882773145
Q033,B,2,0.0,0.05982395532016351,0.5,0.0,0.0,0.5,0.6,0.0,0.3719647910640327
Q027,B,2,0.0,0.5342293762259973,0.75,0.0,0.0,0.75,0.833,0.0,0.6066458752451994
Q031,B,2,0.0,0.15622468300840164,0.5,0.0,0.0,0.5,0.8,0.0,0.5112449366016804
