id,difficulty,reasoning_type,question,expected_answer,prediction,citations,is_correct,latency,mrr,recall_hit,prompt_tokens,completion_tokens
5abed9f45542994516f4545a,medium,bridge,Who was the body double for Emilia Clarke playing Daenerys Targaryen in Game of Thrones?,Rosie Mac,I don't know,,0,11.60010290145874,0.0,0,328,47
5ab1dd6c5542993be8fa9860,medium,bridge,In what literary movement was the nineteenth century writer featured in Alicia Ramsey's historical play a leading figure?,Romantic,Romanticism,,1,1.374506950378418,0.0,0,324,38
5adfa059554299025d62a2f8,hard,bridge,Richard E. Grant starred in what 1995 British romantic comedy film?,Richard E. Grant,Four Weddings and a Funeral,,0,0.9023091793060303,0.0,0,314,35
5a8f9a24554299458435d690,medium,bridge,"What is the name of the lead remix of the track from the remix album containing remixes of the lady gaga studio album ""The Fame""?",Bad Romance,Just Dance (Dave Audé Remix),,0,0.9033920764923096,0.0,0,343,41
5a77535855429966f1a36d04,hard,comparison,"Who was born earlier, Thomas Wolfe or Margaret Wilson?",Margaret Wilson,Thomas Wolfe (1900)  Margaret Wilson (1886),,1,0.9458892345428467,0.0,0,306,33
5a773772554299373536021d,medium,bridge,Who was born first Percy Clifford Mills or Nigel Graham Pearson?,Percy Clifford Mills,I don't know,,0,0.8556318283081055,0.0,0,308,27
5ab36fd355429969a97a814c,medium,bridge,"Which studio album by childish gambina is produced by Glover and contains the song ""redbone""?","""Awaken, My Love!""","""Awaken My Love!""",,1,0.9747331142425537,0.0,0,323,49
5ab57383554299494045efda,medium,bridge, Since 2017 Nick Ayers has been Chief of Staff to a man that served as governor of what state?,Indiana,Georgia,,0,0.821295976638794,0.0,0,331,32
5a78c8f955429974737f7887,medium,comparison,"Which band formed first, Sunrise Avenue or Marcy Playground?",Marcy Playground,Marcy Playground,,1,0.7207167148590088,0.0,0,308,33
5a7a013c5542990198eaf03a,easy,bridge,"What was the member of the Lok Sabha from June 1977 to January 1978 as a member of political Party that belonged to one of the two major political parties in India, along with the Indian National Congress?",chief minister of the state,Janata Party,,0,0.7342970371246338,0.0,0,372,39
5ac021d1554299012d1db5b4,medium,bridge,"Which American actor, artist, and former American football player born in 1968 appeared in the film ""Reach Me?""",Terry Crews,Ryan Phillippe,,0,1.1518948078155518,0.0,0,332,77
5ab8c2465542991b5579effb,medium,bridge,What position does the current holder of the Ligue 1 Young player of the year play?,forward,I don't know,,0,0.7077350616455078,0.0,0,322,50
5a7c779d55429935c91b51ce,medium,bridge,How many ships does the cruise line that is a client of Moment Factory have?,24,I don't know,,0,0.7386600971221924,0.0,0,316,34
5ae07ee155429945ae959384,hard,bridge,"Who died first, Robert Baldock or Edward II of England?",Robert Baldock,Robert Baldock,,1,0.6744880676269531,0.0,0,310,30
5a7248045542990c210a40ad,hard,bridge,Who wrote the screenplay for the Alfred Hitchcock movie that Eva Marie Saint acted in?,Ernest Lehman,Ernest Lehman,,1,0.7587680816650391,0.0,0,318,25
5ae731ff5542991e8301cbc0,easy,bridge,"Michael Faraday was an early 19th-century British scientist, he contributed to the study of electromagnetism and electrochemistry, and died on which date?",25 August 1867,"August 25, 1867",,0,0.8111662864685059,0.0,0,348,26
5abdcb525542991f66106043,easy,bridge,"Who directed the 1959 American Western Film starring the actress who starred as Virginia in ""Marty?""",Budd Boetticher,Eli Wallach,,0,0.6896820068359375,0.0,0,326,42
