id,difficulty,reasoning_type,question,expected_answer,prediction,ess,citations,is_correct,latency,mrr,recall_hit,prompt_tokens,completion_tokens
5abed9f45542994516f4545a,medium,bridge,Who was the body double for Emilia Clarke playing Daenerys Targaryen in Game of Thrones?,Rosie Mac,Rosie Mac.,1.0,"List of A Song of Ice and Fire characters, Page 1, Section: General",1,4.905980348587036,1.0,1,2676,1143
5ab1dd6c5542993be8fa9860,medium,bridge,In what literary movement was the nineteenth century writer featured in Alicia Ramsey's historical play a leading figure?,Romantic,Romantic movement.,1.0,"A Prince of Lovers, Page 1, Section: General",1,23.369290113449097,1.0,1,3661,1451
5adfa059554299025d62a2f8,hard,bridge,Richard E. Grant starred in what 1995 British romantic comedy film?,Richard E. Grant,Jack and Sarah.,1.0,"Richard E. Grant's Hotel Secrets, Page 1, Section: General",0,44.14888405799866,0.2,1,4338,1158
5a8f9a24554299458435d690,medium,bridge,"What is the name of the lead remix of the track from the remix album containing remixes of the lady gaga studio album ""The Fame""?",Bad Romance,"Unfortunately, the documents do not provide any information about the lead remix of a track from the remix album ""The Remix"".",0.0,,0,48.31241703033447,1.0,1,4101,1842
5a77535855429966f1a36d04,hard,comparison,"Who was born earlier, Thomas Wolfe or Margaret Wilson?",Margaret Wilson,Margaret Wilson.,1.0,"Margaret Wilson (writer), Page 1, Section: General",1,25.894211053848267,1.0,1,2965,700
5a773772554299373536021d,medium,bridge,Who was born first Percy Clifford Mills or Nigel Graham Pearson?,Percy Clifford Mills,Percy Clifford Mills.,1.0,"John Gregg Fee, Page 1, Section: General",1,30.715282917022705,1.0,1,3162,806
5ab36fd355429969a97a814c,medium,bridge,"Which studio album by childish gambina is produced by Glover and contains the song ""redbone""?","""Awaken, My Love!""","""Awaken, My Love!""",1.0,"Restless (New Order song), Page 1, Section: General",1,62.325613021850586,1.0,1,5870,1325
5ab57383554299494045efda,medium,bridge, Since 2017 Nick Ayers has been Chief of Staff to a man that served as governor of what state?,Indiana,Indiana.,1.0,"Oklahoma National Guard, Page 1, Section: General",1,41.03514218330383,1.0,1,4185,1025
5a78c8f955429974737f7887,medium,comparison,"Which band formed first, Sunrise Avenue or Marcy Playground?",Marcy Playground,Marcy Playground.,1.0,"Marcy Playground, Page 1, Section: General",1,87.85263419151306,0.5,1,4016,1335
5a7a013c5542990198eaf03a,easy,bridge,"What was the member of the Lok Sabha from June 1977 to January 1978 as a member of political Party that belonged to one of the two major political parties in India, along with the Indian National Congress?",chief minister of the state,Kailash Chandra Joshi.,1.0,"Bharatiya Janata Party, Page 1, Section: General",0,19.102569818496704,0.5,1,4955,1385
